 ±º‰,µÿ –,CGI,◊Ó–°Ω”»ÎµÁ∆Ω,œ¬––≤ª¡¨–¯∑¢…‰ø™πÿ,…œ––≤ª¡¨–¯∑¢…‰ø™πÿ,GAMMAπ¶¬ ÷µ,–°«¯÷ÿ—°∆´÷√,QSearch_I,TDD_OFFSET,…œ––¡¥¬∑∂œø™º∆À„∆˜,œ¬––¡¥¬∑ŒÛ¬Î∂œø™º∆ ˝∆˜,RLINKTAFR,RLINKTAHR,÷‹∆⁄–‘Œª÷√∏¸–¬∂® ±∆˜,∂‡∆µ∂Œ÷∏ æ,1µ»º∂…œ––∏…»≈√≈œﬁ÷µ,2µ»º∂…œ––∏…»≈√≈œﬁ÷µ,3µ»º∂…œ––∏…»≈√≈œﬁ÷µ,4µ»º∂…œ––∏…»≈√≈œﬁ÷µ,◊Ó¥Û÷ÿ∑¢¥Œ ˝
2012-08-23,Œ‰∫∫,460-00-28689-45426,100,ON,1,22,0,7,6,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28881-1292,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-29185-18832,,,,,,,,,,,,,,,,,,
2012-08-23,œÃƒ˛,460-00-28882-9203,100,ON,1,22,0,15,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28725-6302,103,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28970-65506,100,ON,1,26,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28690-41483,103,ON,1,20,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28960-18743,100,ON,1,20,2,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28721-45452,100,ON,1,20,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28718-57455,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28971-12191,100,ON,1,20,1,8,8,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28726-34082,103,ON,1,20,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28979-51105,100,ON,1,20,1,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-29184-57886,100,ON,1,20,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28940-18913,100,ON,1,20,2,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28723-48056,100,ON,1,20,2,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28696-64232,100,ON,1,26,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28961-56256,98,ON,1,20,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28717-24311,98,ON,1,26,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28941-7353,100,ON,1,20,3,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28703-57723,100,ON,1,20,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28707-44704,100,ON,1,20,2,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28699-61562,100,ON,1,26,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28694-40701,103,ON,1,20,3,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28694-30092,103,ON,1,20,1,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28733-59903,100,ON,1,20,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-29141-8072,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28974-59726,100,ON,1,20,2,7,6,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28881-7833,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28728-48555,100,ON,1,20,3,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28703-11171,100,ON,1,22,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28690-13696,100,ON,1,22,0,7,4,32,32,,,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28883-9233,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28700-49511,100,ON,1,22,1,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28966-9763,100,ON,1,22,2,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28965-21871,98,ON,1,,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28704-36863,103,ON,1,22,0,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28706-59316,100,ON,1,20,2,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28722-40913,103,ON,1,22,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-29185-31622,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28729-37461,100,ON,1,20,4,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28701-60124,100,ON,1,26,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28962-24541,98,ON,1,26,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28960-40563,103,ON,1,22,1,7,5,32,32,,,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28714-52136,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28705-33144,100,ON,1,22,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28883-1142,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28712-54782,100,ON,1,20,4,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28970-19743,100,ON,1,20,4,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28966-11053,100,ON,1,20,0,7,4,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,Œ‰∫∫,460-00-28710-58426,100,ON,1,20,3,7,5,32,32,32,32,20,2,2,5,10,15,2
2012-08-23,œÃƒ˛,460-00-28883-3062,,,,,,,,,,,,,,,,,,
2012-08-23,Œ‰∫∫,460-00-28731-63991,100,ON,1,26,4,8,6,32,32,32,32,20,2,2,5,10,15,2
